Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
GEO,Geo Group Inc (The) REIT,$5.825,-0.055,-0.935%,708497383.00,United States,,1365427,Consumer Services,Real Estate Investment Trusts
GMS,GMS Inc. Common Stock,$45.38,-0.47,-1.025%,1944377710.00,United States,2016,114938,Consumer Services,RETAIL: Building Materials
GNL,Global Net Lease Inc. Common Stock,$18.72,-0.14,-0.742%,1695554022.00,United States,2015,118843,Consumer Services,Real Estate Investment Trusts
GNUS,Genius Brands International Inc. Common Stock,$1.50,-0.03,-1.961%,328544847.00,United States,,9313093,Consumer Services,Movies/Entertainment
GOGO,Gogo Inc. Common Stock,$10.16,-0.39,-3.697%,1113636635.00,United States,2013,1560221,Consumer Services,Telecommunications Equipment
GOOD,Gladstone Commercial Corporation Real Estate Investment Trust,$20.62,-0.13,-0.627%,765481312.00,United States,2003,76986,Consumer Services,Real Estate
GSAT,Globalstar Inc. Common Stock,$0.95,-0.07,-6.863%,1598030636.00,United States,2006,8074955,Consumer Services,Telecommunications Equipment
GTN,Gray Television Inc. Common Stock,$19.91,-0.15,-0.748%,1899239250.00,United States,,263868,Consumer Services,Broadcasting
HCKT,Hackett Group Inc (The). Common Stock,$16.815,-0.315,-1.839%,508424931.00,United States,,64061,Consumer Services,Professional Services
HIBB,Hibbett Sports Inc. Common Stock,$72.455,0.375,0.52%,1174260289.00,United States,1996,127006,Consumer Services,Other Specialty Stores
HMHC,Houghton Mifflin Harcourt Company Common Stock,$7.95,-0.07,-0.873%,1012912306.00,United States,2013,618156,Consumer Services,Books
HMTV,Hemisphere Media Group Inc. Class A Common Stock,$12.82,-0.06,-0.466%,514441652.00,United States,,15930,Consumer Services,Television Services
HOL,Holicity Inc. Class A Common Stock,$10.1127,-0.0073,-0.072%,379226250.00,United States,2020,827514,Consumer Services,Transportation Services
HOME,At Home Group Inc. Common Stock,$28.778,-1.252,-4.169%,1882083071.00,United States,2016,559075,Consumer Services,Home Furnishings
HSC,Harsco Corporation Common Stock,$18.34,-0.23,-1.239%,1448740735.00,United States,,89724,Consumer Services,Diversified Commercial Services
HT,Hersha Hospitality Trust Class A Common Shares of Beneficial Interest,$10.53,-0.11,-1.034%,412063193.00,United States,1999,116657,Consumer Services,Real Estate Investment Trusts
HURN,Huron Consulting Group Inc. Common Stock,$54.18,-1.59,-2.851%,1248269978.00,United States,2004,23920,Consumer Services,Professional Services
HVT,Haverty Furniture Companies Inc. Common Stock,$39.74,-1.22,-2.979%,725099617.00,United States,,84857,Consumer Services,Other Specialty Stores
HZO,MarineMax Inc.  (FL) Common Stock,$48.56,-0.67,-1.361%,1074913234.00,United States,1998,256902,Consumer Services,Other Specialty Stores
ICFI,ICF International Inc. Common Stock,$91.04,-0.68,-0.741%,1718369348.00,United States,2006,13779,Consumer Services,Professional Services
IH,iHuman Inc. American depositary shares each representing five Class A ordinary shares,$12.18,0.05,0.412%,649492118.00,United States,2020,105464,Consumer Services,Other Consumer Services
ILPT,Industrial Logistics Properties Trust Common Shares of Beneficial Interest,$24.755,-0.035,-0.141%,1616528433.00,United States,2018,89189,Consumer Services,Real Estate Investment Trusts
IMKTA,Ingles Markets Incorporated Class A Common Stock,$62.70,-0.45,-0.713%,1270287955.00,United States,1987,33970,Consumer Services,Food Chains
INN,Summit Hotel Properties Inc. Common Stock,$9.79,-0.15,-1.509%,1034889025.00,United States,2011,252592,Consumer Services,Real Estate Investment Trusts
IRT,Independence Realty Trust Inc. Common Stock,$16.345,-0.005,-0.031%,1667801663.00,United States,2013,186302,Consumer Services,Real Estate Investment Trusts
IVR,INVESCO MORTGAGE CAPITAL INC Common Stock,$3.77,-0.08,-2.078%,870295867.00,United States,2009,3601582,Consumer Services,Real Estate Investment Trusts
JOAN,JOANN Inc. Common Stock,$11.23,-0.15,-1.318%,455031447.00,United States,2021,229664,Consumer Services,Other Specialty Stores
KIRK,Kirkland's Inc. COMMONSTOCK,$27.07,-1.14,-4.041%,386972607.00,United States,2002,329200,Consumer Services,Other Specialty Stores
KREF,KKR Real Estate Finance Trust Inc. Common Stock,$19.62,-0.24,-1.208%,1091253177.00,United States,2017,97076,Consumer Services,Real Estate Investment Trusts
KRG,Kite Realty Group Trust Common Stock,$19.73,-0.16,-0.804%,1666912371.00,United States,2004,146922,Consumer Services,Real Estate Investment Trusts
LAND,Gladstone Land Corporation Common Stock,$21.07,-0.03,-0.142%,580098208.00,United States,2013,285646,Consumer Services,Real Estate Investment Trusts
LANDM,Gladstone Land Corporation 5.00% Series D Cumulative Term Preferred Stock,$26.15,0.2778,1.074%,630277917.00,United States,,2678,Consumer Services,Real Estate Investment Trusts
LE,Lands' End Inc. Common Stock,$23.825,0.225,0.953%,777731364.00,United States,,56227,Consumer Services,Clothing/Shoe/Accessory Stores
LIND,Lindblad Expeditions Holdings Inc. Common Stock,$17.34,-0.08,-0.459%,866804578.00,United States,2013,84421,Consumer Services,Transportation Services
LL,Lumber Liquidators Holdings Inc Common Stock,$26.49,-0.98,-3.568%,767850080.00,United States,2007,276130,Consumer Services,RETAIL: Building Materials
LMRK,Landmark Infrastructure Partners LP Common Units,$12.38,-0.01,-0.081%,315553721.00,United States,2014,20164,Consumer Services,Real Estate
LOCO,El Pollo Loco Holdings Inc. Common Stock,$17.34,0.04,0.231%,632217839.00,United States,2014,53925,Consumer Services,Restaurants
LOVE,The Lovesac Company Common Stock,$67.11,-2.89,-4.129%,1007859993.00,United States,2018,257909,Consumer Services,Other Specialty Stores
LRN,Stride Inc. Common Stock,$31.01,-1.33,-4.113%,1290092068.00,United States,,272503,Consumer Services,Other Consumer Services
LTC,LTC Properties Inc. Common Stock,$43.05,-0.36,-0.829%,1689377786.00,United States,,92549,Consumer Services,Real Estate Investment Trusts
MCRI,Monarch Casino & Resort Inc. Common Stock,$65.70,-1.76,-2.609%,1211253675.00,United States,1993,20223,Consumer Services,Hotels/Resorts
MCS,Marcus Corporation (The) Common Stock,$20.93,-0.10,-0.476%,655753497.00,United States,,70360,Consumer Services,Movies/Entertainment
MDP,Meredith Corporation Common Stock,$30.63,-0.65,-2.078%,1397785041.00,United States,,235978,Consumer Services,Newspapers/Magazines
MEG,Montrose Environmental Group Inc. Common Stock,$52.51,-4.02,-7.111%,1351604775.00,United States,2020,77233,Consumer Services,Professional Services
MFA,MFA Financial Inc.,$4.19,-0.11,-2.558%,1894126653.00,United States,,1663725,Consumer Services,Real Estate Investment Trusts
MG,Mistras Group Inc Common Stock,$11.16,-0.11,-0.976%,327227538.00,United States,2009,49182,Consumer Services,Military/Government/Technical
MNR,Monmouth Real Estate Investment Corporation Class A Common Stock,$18.06,-0.27,-1.473%,1775309089.00,United States,,182385,Consumer Services,Real Estate Investment Trusts
MODV,ModivCare Inc. Common Stock,$138.79,-3.44,-2.419%,1969505047.00,United States,,26230,Consumer Services,Transportation Services
MSGN,MSG Networks Inc. Common Stock,$15.52,-0.24,-1.523%,885391711.00,United States,,91918,Consumer Services,Television Services
